Geometric (c) SCHRAUSSER 2009; 05/13/09 20:48:10;

p= 0.027, q= 0.973, r+1= 30

i                                                     Pi                <pi                >pi
121 |%                                                 0.001011357259953  0.963554788948085  0.037456568311868
120 |%                                                 0.001039421644350  0.962543431688132  0.038495989956219
119 |%                                                 0.001068264793783  0.961504010043781  0.039564254750001
118 |%                                                 0.001097908318379  0.960435745249999  0.040662163068380
117 |%                                                 0.001128374427933  0.959337836931620  0.041790537496313
116 |%                                                 0.001159685948544  0.958209462503687  0.042950223444857
115 |%                                                 0.001191866339716  0.957049776555143  0.044142089784573
114 |%                                                 0.001224939711938  0.955857910215427  0.045367029496511
113 |%                                                 0.001258930844747  0.954632970503489  0.046625960341258
112 |%                                                 0.001293865205289  0.953374039658742  0.047919825546547
111 |%                                                 0.001329768967409  0.952080174453453  0.049249594513956
110 |%%                                                0.001366669031253  0.950750405486044  0.050616263545210
109 |%%                                                0.001404593043426  0.949383736454790  0.052020856588635
108 |%%                                                0.001443569417704  0.947979143411365  0.053464426006339
107 |%%                                                0.001483627356324  0.946535573993661  0.054948053362664
106 |%%                                                0.001524796871865  0.945051946637336  0.056472850234528
105 |%%                                                0.001567108809727  0.943527149765472  0.058039959044256
104 |%%                                                0.001610594871251  0.941960040955744  0.059650553915507
103 |%%                                                0.001655287637463  0.940349446084493  0.061305841552970
102 |%%                                                0.001701220593487  0.938694158447030  0.063007062146457
101 |%%                                                0.001748428153635  0.936992937853543  0.064755490300092
100 |%%                                                0.001796945687189  0.935244509699908  0.066552435987281
 99 |%%                                                0.001846809544901  0.933447564012719  0.068399245532182
 98 |%%                                                0.001898057086230  0.931600754467818  0.070297302618412
 97 |%%                                                0.001950726707328  0.929702697381588  0.072248029325740
 96 |%%                                                0.002004857869812  0.927751970674260  0.074252887195552
 95 |%%%                                               0.002060491130331  0.925747112804448  0.076313378325884
 94 |%%%                                               0.002117668170947  0.923686621674116  0.078431046496831
 93 |%%%                                               0.002176431830367  0.921568953503169  0.080607478327197
 92 |%%%                                               0.002236826136040  0.919392521672803  0.082844304463237
 91 |%%%                                               0.002298896337143  0.917155695536763  0.085143200800380
 90 |%%%                                               0.002362688938482  0.914856799199620  0.087505889738862
 89 |%%%                                               0.002428251735336  0.912494110261138  0.089934141474198
 88 |%%%                                               0.002495633849266  0.910065858525802  0.092429775323464
 87 |%%%                                               0.002564885764919  0.907570224676536  0.094994661088383
 86 |%%%                                               0.002636059367851  0.905005338911617  0.097630720456234
 85 |%%%%                                              0.002709207983403  0.902369279543766  0.100339928439637
 84 |%%%%                                              0.002784386416652  0.899660071560363  0.103124314856289
 83 |%%%%                                              0.002861650993476  0.896875685143711  0.105985965849765
 82 |%%%%                                              0.002941059602750  0.894014034150235  0.108927025452516
 81 |%%%%                                              0.003022671739723  0.891072974547484  0.111949697192239
 80 |%%%%                                              0.003106548550589  0.888050302807761  0.115056245742828
 79 |%%%%                                              0.003192752878303  0.884943754257173  0.118248998621131
 78 |%%%%                                              0.003281349309664  0.881751001378869  0.121530347930795
